ID,Member,PARTY,CONSTITUENCY,Cost of staying away from main home (2nd home),London costs,Office running costs,Staffing costs,Travel,Centrally provided stationary/postage,Staff cover & other,Comms allowance
Chris Bryant MP,23367.23,0,17008.75,94299.17,12958,4443,0,7759
Karen Buck MP,0.00,2916,22130.65,98508.80,948,6999,0,9965
Richard Burden MP,14987.93,0,20574.13,97357.34,11636,4616,12565,8366
Colin Burgon MP,22600.00,0,20720.13,97647.94,9670,2448,0,4289
Andy Burnham MP,12300.99,0,19765.76,89969.02,10454,2322,0,993
Simon Burns MP,15948.61,0,14107.31,89547.05,4708,3439,0,7659
David Burrowes MP,0.00,2916,17152.62,104634.89,3094,2882,2246,6621
Paul Burstow MP,0.00,2916,11160.49,97628.59,2325,4859,0,16158
Alastair Burt MP,23786.32,0,17537.09,97104.47,7612,4082,0,8603
Lorely Burt MP,21306.84,0,20143.37,102906.69,5734,3079,0,10232
Dawn Butler MP,5976.12,243,11977.32,96460.61,0,6829,0,12519
John Butterfill MP,18882.36,0,16982.71,85983.58,5511,2037,0,297
Stephen Byers MP,8654.27,0,11351.03,64386.11,15079,6988,0,6008
Liam Byrne MP,22963.27,0,25970.17,96399.20,6404,6717,0,10271
Vincent Cable MP,0.00,2916,21794.38,98878.11,2740,3941,0,11086
Richard Caborn MP,19621.43,0,15853.81,97403.04,19383,2254,0,6834
David Cairns MP,16034.14,0,16269.49,78551.82,14669,3400,0,9141
David Cameron MP,20240.25,0,8941.76,109815.24,1562,4458,5844,1318
Alan Campbell MP,16887.18,0,24324.50,84500.82,17034,5712,0,13808
Gregory Campbell MP,16674.80,0,4516.00,80145.84,20298,1193,0,525
Menzies Campbell MP,15041.34,0,12763.71,95751.17,18099,2950,7294,9072
Ronnie Campbell MP,23854.14,0,27092.11,81456.58,12037,2915,0,10437
Alistair Carmichael MP,19371.58,0,20961.78,76695.60,35472,2975,0,2174
Douglas Carswell MP,24006.00,0,16040.31,98355.17,6978,4314,0,13882
William Cash MP,19773.22,0,19963.73,79905.42,11593,917,0,8675
Martin Caton MP,8404.76,0,16885.32,87413.90,6893,4335,0,8726
Ian Cawsey MP,3875.00,0,18261.21,86396.50,14709,852,0,8317
Colin Challen MP,15975.61,0,15246.20,105744.65,19870,3066,0,103
Ben Chapman MP,22259.69,0,23869.25,86959.15,14058,6666,0,13123
David Chaytor MP,24006.00,0,19766.66,101714.15,11512,3909,9323,11103
Christopher Chope MP,19933.63,0,9535.28,78113.42,5696,1556,0,0
James Clappison MP,9310.28,0,14352.11,102894.79,8296,819,0,12459
Michael Clapham MP,22005.33,0,9216.18,63930.29,7523,1710,2247,885
Charles Clarke MP,23331.88,0,21508.22,100731.61,9513,6111,0,10143
Greg Clark MP,3000.00,0,7409.39,114909.29,3834,3006,0,5949
Katy Clark MP,17699.66,0,24431.81,88277.54,11986,5520,0,9023
Kenneth Clarke MP,14895.33,0,8961.68,92266.86,5916,3479,0,2606
Paul Clark MP,19862.34,0,21161.89,91581.67,3373,6292,0,10414
Thomas Clarke MP,12905.00,0,11828.50,104093.77,12788,3382,0,11979
Nick Clegg MP,17080.52,0,23132.96,94211.68,5766,3171,0,4702
David Clelland MP,17628.93,0,22637.40,84415.53,21834,2123,0,6502
Geoffrey Clifton-Brown MP,24006.00,0,21464.24,80049.11,4940,4286,0,10974
Ann Clwyd MP,21201.35,0,13790.76,86656.79,7265,976,0,3527
Vernon Coaker MP,8944.18,0,22651.50,94357.02,9005,3207,0,9618
Ann Coffey MP,15663.00,0,16113.72,84093.17,8391,982,0,10839
Harry Cohen MP,23961.05,0,17465.03,103780.29,2677,1754,0,8315
Michael Connarty MP,23580.53,0,23944.53,92218.75,27162,6421,0,13705
Derek Conway MP,23994.20,0,16933.78,82724.13,6824,903,0,9538
Francis Cook MP,23700.00,0,11606.64,91550.65,17719,1544,0,10269
Rosie Cooper MP,20338.94,0,18927.32,87463.16,11756,6979,0,10393
Yvette Cooper MP,11839.61,0,17889.95,100801.91,16195,6531,0,10672
Jeremy Corbyn MP,0.00,2916,13784.10,105550.66,934,5431,0,4193
Patrick Cormack MP,23530.34,0,17299.26,89157.51,5724,6998,0,127
James Cousins MP,8063.18,0,15323.91,99320.59,11912,3655,12064,6147
Geoffrey Cox MP,23000.00,0,23325.86,91909.89,11900,3979,0,11262
Stephen Crabb MP,20371.13,0,28897.11,78485.71,13575,2157,0,10118
David Crausby MP,21713.45,0,19439.19,94864.54,10466,4280,0,8183
Mary Creagh MP,21955.26,0,18312.59,98596.07,10353,6770,0,10752
Jon Cruddas MP,23646.78,0,21740.25,101225.88,1744,5893,0,9769
Ann Cryer MP,19620.36,0,19433.41,98870.28,10870,1588,0,4811
John Cummings MP,19459.65,0,11843.07,110333.63,22937,1815,0,0
