[2020-05-26 17:17:54] [DEBUG   ] --- Starting new HTTPS connection (1): query.wikidata.org:443 (connectionpool.py:941)
[2020-05-26 17:17:55] [DEBUG   ] --- https://query.wikidata.org:443 "GET /sparql?query=%0ASELECT+%0A++%3Fpost+%3FpostLabel+%28year%28%3Finception%29+as+%3FinceptionYear%29+%28year%28%3Fdissolved%29+as+%3FdissolvedYear%29%0AWHERE+%7B%0A++%3Fnode+++ps%3AP279+wd%3AQ6970524+.%0A++%3Fitem+++p%3AP279++%3Fnode+.%0A++%3Fregion+ps%3AP31++%3Fitem+.%0A++%3Fpost+++p%3AP31+++%3Fregion+.+++%0A++OPTIONAL+%7B%3Fpost+wdt%3AP571+%3Finception%7D%0A++OPTIONAL+%7B%3Fpost+wdt%3AP576+%3Fdissolved%7D%0A++SERVICE+wikibase%3Alabel+%7B+bd%3AserviceParam+wikibase%3Alanguage+%22%5BAUTO_LANGUAGE%5D%2Cen%22.+%7D%0A%7D%0A&format=json HTTP/1.1" 200 1060 (connectionpool.py:442)
[2020-05-26 17:17:55] [DEBUG   ] --- Looking at Montgomeryshire (Q4243314): (posts.py:65)
[2020-05-26 17:17:55] [DEBUG   ] --- Creating parlparse ID for Montgomeryshire (Q4243314) (posts.py:103)
[2020-05-26 17:17:55] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/cons/70001 (posts.py:106)
[2020-05-26 17:17:55] [DEBUG   ] --- Looking at Aberavon (Q4666775): (posts.py:65)
[2020-05-26 17:17:55] [DEBUG   ] --- Creating parlparse ID for Aberavon (Q4666775) (posts.py:103)
[2020-05-26 17:17:55] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/cons/70002 (posts.py:106)
[2020-05-26 17:17:55] [DEBUG   ] --- Looking at Aberconwy (Q4666807): (posts.py:65)
[2020-05-26 17:17:55] [DEBUG   ] --- Creating parlparse ID for Aberconwy (Q4666807) (posts.py:103)
[2020-05-26 17:17:55] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/cons/70003 (posts.py:106)
[2020-05-26 17:17:55] [DEBUG   ] --- Looking at Alyn and Deeside (Q4738671): (posts.py:65)
[2020-05-26 17:17:55] [DEBUG   ] --- Creating parlparse ID for Alyn and Deeside (Q4738671) (posts.py:103)
[2020-05-26 17:17:55] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/cons/70004 (posts.py:106)
[2020-05-26 17:17:55] [DEBUG   ] --- Looking at Arfon (Q4789158): (posts.py:65)
[2020-05-26 17:17:55] [DEBUG   ] --- Creating parlparse ID for Arfon (Q4789158) (posts.py:103)
[2020-05-26 17:17:55] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/cons/70005 (posts.py:106)
[2020-05-26 17:17:55] [DEBUG   ] --- Looking at Blaenau Gwent (Q4923797): (posts.py:65)
[2020-05-26 17:17:55] [DEBUG   ] --- Creating parlparse ID for Blaenau Gwent (Q4923797) (posts.py:103)
[2020-05-26 17:17:55] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/cons/70006 (posts.py:106)
